"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"38",38,99.7561428427316,0.162406060441988,0.0814510968263197,0.243857157268308,-0.000743066637880929,0.000594207629362131,0.000148859008560889,0.000743066637923007
"39",39,99.7025420217731,0.198042826683209,0.0994151515436654,0.297457978226874,-0.00110639636808685,0.000884554633750784,0.000221841734385192,0.00110639636813598
"40",40,99.6372690358091,0.241413788531109,0.121317175659748,0.362730964190857,-0.00164642764029566,0.00131597594734284,0.000330451692998626,0.00164642764034156
"41",41,99.5578340269818,0.294156034643792,0.148009938374363,0.442165973018155,-0.0024483861324569,0.00195641249201656,0.00049197364045378,0.00244838613247039
"42",42,99.4612409940019,0.358233200700873,0.180525805297197,0.538759005998071,-0.00363804414041624,0.00290604794621352,0.000731996194234391,0.00363804414044799
"43",43,99.3438968767361,0.435990998857792,0.220112124406135,0.656103123263926,-0.00540056642371667,0.00431223009980203,0.00108833632395755,0.00540056642375963
"44",44,99.2015100901542,0.53021749517087,0.26827241467494,0.79848990984581,-0.00800776307323758,0.00639099598847837,0.00161676708478992,0.00800776307326811
"45",45,99.0289802496396,0.644206013062382,0.326813737298007,0.971019750360389,-0.0118572224562996,0.00945788601839292,0.00239933643793128,0.0118572224563243
"46",46,98.820282749946,0.781816909487282,0.39790034056667,1.17971725005395,-0.0175280154210782,0.0139716381138308,0.00355637730727743,0.0175280154211082
"47",47,98.5683546282085,0.947532185910971,0.484113185880518,1.43164537179149,-0.0258591368291263,0.0205954165846739,0.00526372024447008,0.0258591368291443
"48",48,98.2649919394399,1.14649384770746,0.588514212852636,1.7350080605601,-0.0380584921044544,0.0302813503244308,0.00777714178002487,0.0380584921044564
"49",49,97.9007738053629,1.38451308738294,0.714713107254146,2.09922619463708,-0.0558517988503695,0.0443850900604752,0.011466708789885,0.0558517988503611
"50",50,97.4650342775708,1.66803289885729,0.866932823571924,2.53496572242922,-0.0816817474505882,0.0648173750640857,0.0168643723864805,0.0816817474505669
"51",51,96.9459097328818,2.00402212476128,1.05006814235697,3.05409026711825,-0.118967240425491,0.0942384189804502,0.0247288214450245,0.118967240425475
"52",52,96.3304956498943,2.39977520709733,1.26972914300835,3.66950435010568,-0.17242906204271,0.136297040461338,0.0361320215813379,0.172429062042678
"53",53,95.6051504318698,2.86259075678756,1.53225881134259,4.39484956813015,-0.248479879367565,0.195908190463184,0.0525716889043717,0.248479879367556
"54",54,94.7559826186945,3.39930592882589,1.84471145247965,5.24401738130554,-0.35566059642386,0.279547951758146,0.0761126446656684,0.355660596423816
"55",55,93.7695477818091,4.01567542724736,2.21477679094359,6.23045221819095,-0.505079577427381,0.395522722631732,0.109556854795586,0.505079577427319
"56",56,92.6337590524566,4.71560640026885,2.65063454727453,7.36624094754338,-0.710775573595612,0.554139384728083,0.156636188867502,0.710775573595587
"57",57,91.3389786452111,5.50029434663387,3.16072700815504,8.66102135478891,-0.989882653813382,0.767669716536938,0.222212937276403,0.989882653813343
"58",58,89.8792088778544,6.36734743380597,3.7534436883396,10.1207911221456,-1.36243586199173,1.04997489077845,0.312460971213214,1.36243586199167
"59",59,88.253248187437,7.31002873115383,4.43672308140916,11.746751812563,-1.8506376233381,1.41565112292761,0.434986500410455,1.85063762333807
"60",60,86.4656353954954,8.31677357956869,5.21759102493587,13.5343646045046,-2.4774313704646,1.87859639366965,0.598834976794913,2.47743137046456
"61",61,84.527192773965,9.37113613081921,6.1016710952158,15.472807226035,-3.26432342709984,2.44999829857166,0.814325128528161,3.26432342709983
"62",62,82.4550109621344,10.4522731021547,7.09271593571093,17.5449890378656,-4.22856456352922,3.13590578107584,1.09265878245333,4.22856456352918
"63",63,80.2717998760175,11.5359849851274,8.19221513885508,19.7282001239825,-5.38002537321185,3.93474420191456,1.44528117129724,5.38002537321181
"64",64,78.0046443856699,12.5962237812552,9.39913183307486,21.9953556143301,-6.71831241150709,4.83530105865907,1.88301135284799,6.71831241150706
"65",65,75.6833203567131,13.6068739681989,10.709805675088,24.3166796432869,-8.23078568387217,5.81576644582409,2.41501923804805,8.23078568387215
"66",66,73.3384096432501,14.5435532292964,12.1180371274535,26.6615903567499,-9.8920719325421,6.84429214186609,3.04777979067598,9.89207193254207
"67",67,70.9994768573135,15.3851810498981,13.6153420927884,29.0005231426865,-11.6653968172939,7.88122930726081,3.784167510033,11.6653968172938
"68",68,68.6935303284162,16.1151255942268,15.1913440773569,31.3064696715838,-13.5056401856946,8.88279081985791,4.62284936583666,13.5056401856946
"69",69,66.4439254009986,16.7218216046021,16.8342529943993,33.5560745990014,-15.3636096062363,9.80551694326325,5.55809266297298,15.3636096062362
"70",70,64.2697309911102,17.1988867116707,18.5313822972191,35.7302690088898,-17.1907022850558,10.6106806782796,6.58002160677619,17.1907022850557
"71",71,62.1855517556652,17.5447940363197,20.269654208015,37.8144482443348,-18.9431357797579,11.2678570739878,7.67527870577008,18.9431357797579
"72",72,60.2017011159713,17.7622430496844,22.0360558343443,39.7982988840288,-20.5850766383029,11.757100180578,8.82797645772487,20.5850766383028
"73",73,58.3246268789289,17.8573508120512,23.8180223090199,41.6753731210711,-22.090358400371,12.0695694494199,10.020788950951,22.0903584003709
