"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"140",140,24.4461715527553,0.22561014704971,75.328218300195,75.5538284472446,-18.4319443691149,0.0587848000636085,18.3731595690513,18.4319443691149
"141",141,24.4422541329882,0.207865844682628,75.3498800223292,75.5577458670117,-18.4329515244423,0.0541484660684305,18.3788030583738,18.4329515244423
"142",142,24.4386484525211,0.191513683575197,75.3698378639037,75.5613515474788,-18.4338792755361,0.0498778261596626,18.3840014493764,18.4338792755362
"143",143,24.4353295024614,0.176444966218765,75.3882255313198,75.5646704975386,-18.4347338824761,0.0459440331204307,18.3887898493556,18.4347338824761
"144",144,24.4322743103722,0.162559402509346,75.4051662871184,75.5677256896277,-18.435521111647,0.0423205154187406,18.3932005962282,18.435521111647
"145",145,24.4294617699742,0.149764471613419,75.4207737584124,75.5705382300258,-18.4362462747383,0.0389827977350714,18.3972634770032,18.4362462747383
"146",146,24.4268724857403,0.137974830399221,75.4351526838605,75.5731275142596,-18.436914264645,0.0359083356215552,18.4010059290234,18.436914264645
"147",147,24.4244886309895,0.127111765328333,75.4483996036821,75.5755113690104,-18.4375295885189,0.033076363186678,18.4044532253321,18.4375295885189
"148",148,24.4222938182264,0.117102684861811,75.4606034969118,75.5777061817736,-18.4380963982023,0.030467752784293,18.407628645418,18.4380963982023
"149",149,24.4202729806032,0.107880649594926,75.4718463698019,75.5797270193968,-18.4386185182522,0.0280648857645019,18.4105536324876,18.4386185182523
"150",150,24.418412263491,0.0993839374925643,75.4822037990164,75.581587736509,-18.439099471749,0.0258515334169651,18.4132479383319,18.439099471749
"151",151,24.4166989252488,0.0915556417522703,75.4917454329989,75.5833010747511,-18.4395425040658,0.0238127473047971,18.4157297567609,18.4395425040658
"152",152,24.4151212463669,0.0843432989723812,75.5005354546607,75.5848787536331,-18.4399506047614,0.0219347582497318,18.4180158465116,18.4399506047614
"153",153,24.4136684462414,0.0776985454481013,75.5086330083105,75.5863315537586,-18.4403265277446,0.0202048832870314,18.4201216444574,18.4403265277445
"154",154,24.4123306069083,0.0715767995579314,75.5160925935338,75.5876693930917,-18.4406728098484,0.0186114399619993,18.4220613698863,18.4406728098484
"155",155,24.4110986031278,0.0659369683362902,75.5229644285359,75.5889013968721,-18.4409917879396,0.0171436673892371,18.4238481205502,18.4409917879395
"156",156,24.4099640382678,0.0607411764551717,75.529294785277,75.5900359617322,-18.441285614678,0.0157916535412665,18.4254939611366,18.441285614678
"157",157,24.4089191854854,0.0559545159581631,75.5351262985564,75.5910808145146,-18.4415562730352,0.0145462682750863,18.42701000476,18.4415562730351
"158",158,24.407956933753,0.051544815204098,75.5404982510429,75.5920430662469,-18.4418055896675,0.013399101643922,18.4284064880235,18.4418055896675
"159",159,24.4070707383156,0.0474824255851003,75.5454468360993,75.5929292616844,-18.4420352472358,0.0123424070770914,18.4296928401587,18.4420352472358
"160",160,24.4062545752022,0.0437400246849209,75.5500054001129,75.5937454247977,-18.4422467957541,0.0113690490437862,18.4308777467103,18.4422467957541
"161",161,24.4055028994517,0.0402924346384558,75.5542046659099,75.5944971005483,-18.4424416630442,0.0104724548468659,18.4319692081972,18.4424416630441
"162",162,24.4048106067383,0.0371164545423779,75.5580729387193,75.5951893932616,-18.4426211643659,0.00964657022068084,18.4329745941451,18.4426211643659
"163",163,24.4041729981154,0.03419070585014,75.5616362960344,75.5958270018845,-18.4427865112895,0.00888581843266299,18.4339006928568,18.4427865112896
"164",164,24.4035857476154,0.0314954897624802,75.5649187626222,75.5964142523846,-18.4429388198681,0.00818506261212217,18.4347537572559,18.4429388198681
"165",165,24.4030448724702,0.0290126556972369,75.5679424718326,75.5969551275298,-18.4430791181663,0.00753957105151662,18.4355395471147,18.4430791181663
"166",166,24.4025467057362,0.0267254799900239,75.5707278142737,75.5974532942637,-18.4432083531959,0.00694498524557651,18.4362633679502,18.4432083531959
"167",167,24.4020878711244,0.024618554040404,75.5732935748351,75.5979121288755,-18.4433273973049,0.00639729045218335,18.4369301068526,18.4433273973049
"168",168,24.4016652598554,0.0226776811768872,75.5756570589677,75.5983347401445,-18.4434370540629,0.00589278857596948,18.4375442654868,18.4434370540629
"169",169,24.4012760093738,0.0208897815686289,75.5778342090576,75.5987239906261,-18.4435380636829,0.00542807319131805,18.4381099904915,18.4435380636829
"170",170,24.4009174837696,0.0192428045623719,75.5798397116681,75.5990825162304,-18.4436311080158,0.00500000653591733,18.4386311014798,18.4436311080159
"171",171,24.4005872557682,0.0177256478701987,75.5816870963616,75.5994127442318,-18.4437168151511,0.00460569831935483,18.4391111168317,18.4437168151511
"172",172,24.4002830901613,0.0163280830772767,75.5833888267614,75.5997169098386,-18.4437957636553,0.00424248620351537,18.4395532774517,18.4437957636553
"173",173,24.4000029285623,0.0150406869792099,75.5849563844585,75.5999970714377,-18.4438684864758,0.00390791782285539,18.4399605686529,18.4438684864758
"174",174,24.3997448753777,0.0138547782960707,75.5864003463262,75.6002551246222,-18.443935474538,0.00359973422304154,18.4403357403149,18.443935474538
"175",175,24.3995071848992,0.012762359344873,75.5877304557559,75.6004928151007,-18.4439971800576,0.00331585460603404,18.4406813254515,18.4439971800576
"176",176,24.399288249423,0.0117560622843573,75.5889556882926,75.6007117505769,-18.444054019593,0.00305436227853029,18.4409996573144,18.444054019593
"177",177,24.3990865883157,0.0108290995756676,75.5900843121087,75.6009134116843,-18.4441063768563,0.00281349170882145,18.4412928851474,18.4441063768563
"178",178,24.3989008379502,0.00997521832997695,75.5911239437199,75.6010991620498,-18.4441546053033,0.00259161660460902,18.4415629886986,18.4441546053033
"179",179,24.3987297424417,0.00918865823952819,75.5920815993187,75.6012702575582,-18.4441990305187,0.00238723893123102,18.4418117915873,18.4441990305187
"180",180,24.3985721451203,0.00846411281203611,75.5929637420677,75.6014278548797,-18.4442399524138,0.00219897879610483,18.4420409736176,18.4442399524138
"181",181,24.3984269806796,0.00779669365010185,75.5937763256704,75.6015730193204,-18.4442776472508,0.00202556513104909,18.4422520821197,18.4442776472508
"182",182,24.3982932679499,0.00718189753733499,75.5945248345128,75.60170673205,-18.4443123695076,0.00186582710954005,18.442446542398,18.4443123695076
